menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
kue gandum pisang,bubuk pengembang susu gulungan gandum ekstra telur madu pisang tepung terigu putih keperluan,kupas haluskan pisang campur telur susu madu tambahkan bahan kering aduk pindahkan loyang masak oven suhu c menit biarkan dingin buka cetakannya potong potong,8 porsi,103,1.93,19.26,3.18,1.5,31,https://m.ftscrt.com/static/recipe/892f0def-c5e6-4a4b-a222-a4360823b5bf.jpg
gandum dengan buah,madu gandum gelas yogurt stroberi buah naga apel,masak gandum air sesuai kemasan pindahkan mangkuk tambahkan yogurt iris buah tambahkan mangkuk gerimis madu,2 porsi,251,3.81,50.22,4.57,4.4,5,https://m.ftscrt.com/static/recipe/548c03ea-3bdc-41e7-b5ea-1f41d358a1b1.jpg
sandwich telur dadar,daun selada lembar roti tawar gandum telur dadar utuh tomat merah,panggang roti wajan antilengket menit sisi atur telur dadar sayuran roti iris sajikan,1 porsi,306,11.59,36.48,13.63,7.6,217,https://m.ftscrt.com/static/recipe/687f35fe-9dd8-4a41-ab14-216a6bb82647.jpg
banana oats coklat,choco chips unsalted butter oat susu uht low fat ekstrak vanila telur baking soda pisang kakao bubuk gula,haluskan pisang tambahkan oat coklat bubuk vanilla baking soda aduk adonan tercampur masukkan susu telur mentega cair tuang cetakan dialasi kertas roti taburi choco chips panggang suhu c menit,2 porsi,315,10.7,45.52,12.27,6.4,140,https://m.ftscrt.com/static/recipe/1c8d84c8-e1fe-4f41-a219-748b9855a23d.jpg
wafel,bubuk pengembang tepung pati jagung mentega tawar telur tepung putih susu garam ekstrak vanila gula pasir,hangatkan susu mendidih tambahkan butter aduk butter meleleh sisihkan campur bahan kering tambahkan telur susu masukkan ekstrak vanili campur halus diamkan menit masak waffle iron berwarna keemasan sajikan buah topping,5 porsi,231,11.32,26.41,4.78,0.6,49,https://m.ftscrt.com/static/recipe/aece58bc-4a2c-4390-be5e-1e225939cd5f.jpg
kue oat pisang,porsi minyak nabati choco chips oat low fat milk telur pisang raja,haluskan pisang raja tambahkan telur minyak susu campur tambahkan oat giling g keping cokelat aduk tuang adunan acuan hiaskan baki choco chips bakar minit suhu c biarkan dingin iris,11 porsi,153,4.96,23.24,4.04,2.7,39,https://m.ftscrt.com/static/recipe/228c7014-d4fd-4734-b544-730d107e3c29.jpg
kue pisang kukus,susu dark chocolate chips salted butter oatmeal rolled oats palm sugar putih telur bongkahan gula merah pisang chia seed kacang almond,kocok putih telur gula masukkan pisang lecek oat biji chia tambahkan mentega cair susu campur tempatkan cetakan hiasi keping cokelat almond cincang kukus menit,12 porsi,181,9.45,21.89,4.32,3.7,14,https://m.ftscrt.com/static/recipe/ca663dfd-9a6b-481c-b542-8b6ea05fc64a.jpg
tahu dihancurkan dengan telur orak arik,minyak goreng bawang bombay telur cabai merah rawit bawang putih tahu daun bawang,tuangkan minyak tumis bawang putih bawang bombay rawit berwarna kecoklatan masukkan telur diorak arik tambahkan tahu hancurkan tuangkan air bumbui sesuai selera masukkan bawang daun sajikan,4 porsi,156,11.34,6.43,8.91,1.6,116,https://m.ftscrt.com/static/recipe/f704a1d7-3b38-46aa-bf1e-4c7f58e831d0.jpg
nasi goreng sayuran,sambal goreng telur mangkok masak nasi putih wortel selada kol sawi hijau,wajan antilengket kocok telur tambahkan nasi saus sambal mengaduk masukkan sayuran aduk bumbui sesuai selera,1 porsi,416,8.87,70.19,15.58,6.0,228,https://m.ftscrt.com/static/recipe/87219099-5033-4aa1-ab15-42c08f893387.jpg
roti pisang havermut,cokelat hitam granola almond havermut instan telur sejumput garam ekstrak vanila pisang baking soda madu,hancurkan pisang campur telur vanila madu tambahkan oatmeal garam soda kue tuang cetakan roti taburi granola panggang oven suhu c menit adonan lengket biarkan dingin membuka cetakan mengiris,2 porsi,232,5.86,39.64,7.31,4.2,106,https://m.ftscrt.com/static/recipe/3dc75459-6839-4198-af8a-0b38538289c7.jpg
goreng labu dengan jagung,minyak zaitun extra virgin telur tepung terigu gelas jagung bawang putih bubuk tumbuk oregano sejumput lada hitam labu,potong dadu labu rebus air empuk tiriskan campur blender bahan kecuali tepung minyak masukkan tepung aduk masak wajan minyak berwarna keemasan kencang,6 porsi,121,3.93,19.07,3.82,1.0,35,https://m.ftscrt.com/static/recipe/9de0f46b-8a8b-4637-ab55-97cee741b46a.jpg
roti pisang dan keju,keju quick leleh lembar roti tawar gandum pisang,iris pisang parut keju susun roti masak penggorengan udara suhu c menit,1 porsi,280,8.75,41.5,9.0,4.0,0,https://m.ftscrt.com/static/recipe/afe8e6f9-9bbd-4e95-98e5-e66c7761b311.jpg
pancake protein oat,pemanis bubuk pengembang oat gulung sendok air dadih coklat telur gelas air,giling oat bubuk campurkan bahan kering campur halus masak wajan antilengket keras sisi,4 porsi,87,1.62,8.31,8.57,2.8,68,https://m.ftscrt.com/static/recipe/f9126ab1-2d0c-43f3-b3bc-b71791eae36e.jpg
brownies oatmeal,baking powder cocoa powder minyak goreng instant oatmeal susu uht kids cokelat telur pisang baking soda gula pasir,giling oatmeal blender menyisihkan tumbuk pisang campurkan bahan masukkan adunan acuan kukus minit biarkan sejuk buang acuan potong,4 porsi,165,5.4,26.59,4.41,3.4,47,https://m.ftscrt.com/static/recipe/6294e676-78fc-40fb-a3d0-91c0fa26b239.jpg
bihun dengan sayuran,bihun ayam bawang carrots broccoli with salt drained cooked boiled,masak mie sesuai petunjuk kemasan rebus sayuran menit campur mie sayuran bumbui sesuai sajikan,1 porsi,242,3.85,47.79,4.35,3.7,0,https://m.ftscrt.com/static/recipe/60ce6f52-6fd4-4057-941c-b96adbcfd67c.jpg
smoothie buah naga dan pisang,cinnamon raisin squeeze yogurt peach yakult pisang mangkok buah naga,potong pisang buah naga masukkan kesemuanya pengisar kisar sebati tempatkan mangkuk hiasi granola buah sesuai nikmati sarapan,2 porsi,280,3.48,60.41,4.98,5.6,0,https://m.ftscrt.com/static/recipe/628f21a7-c977-4b09-aee5-c6e8d32b6feb.jpg
bolu oatmeal pisang cokelat,baking powder coconut sugar cocoa powder whole rolled oats choco chips egg banana,haluskan pisang campur bahan panggang menit suhu c hasilnya loyang dibagi potong,12 porsi,106,2.83,18.69,2.96,2.9,18,https://m.ftscrt.com/static/recipe/ea6ede7e-e208-4388-96c6-e063e8676ae8.jpg
oat panekuk,cangkir instant oatmeal telur chocolate drink,haluskan oatmeal hinggah tekstur tepung tambahkan sebutir telur aduk tambahkan chocolatos aduk masak pan anti lengket matang sisinya,5 porsi,54,1.87,7.1,2.44,0.6,42,https://m.ftscrt.com/static/recipe/171ebe49-d320-4eb6-9730-1619d3a136f6.jpg
tumis brokoli,sejumput garam laut kaldu jamur siung bawang putih brokoli wortel bawang merah gula pasir,rebus wortel brokoli tujuannya empuk matang merata ditumis tumis bawang merah bawang putih dicincang teflon anti lengket minyak masak bumbu matang masukkan wortel brokoli direbus aduk merata gula garam kaldu jamur tumis brokoli disajikan,3 porsi,79,0.52,17.22,3.49,4.4,0,https://m.ftscrt.com/static/recipe/2db32a6d-972a-426b-96b5-d7359424ed12.jpg
omlete tahu telur,sendok makan minyak goreng sawit telur garam tahu,hancurkan tahu mangkuk kocok telur campur tahu bumbui garam masukkan minyak wajan goreng matang,1 porsi,232,18.92,2.48,14.26,0.3,212,https://m.ftscrt.com/static/recipe/ee89885c-8bf7-440a-872e-b47c2063843f.jpg
muesli simple,muesli dried fruit susu susu murni chia seed,masukan susu muesli kedalam mangkok masukan kulkas diamkan semalaman disantap pagi taburi chia seed diatasnya buah buahan opsional,1 porsi,255,7.3,42.21,6.96,5.8,10,https://m.ftscrt.com/static/recipe/4459fd35-19db-4855-b723-894f553ec259.jpg
jus bokcoy,sugar fresh lime juice slices pineapple extra sweet daun chinese cabbage bok choy choi water,cuci buah sayur rendam bokcoy air panas sebentar blender bahan,2 porsi,94,0.19,24.57,1.03,2.0,0,https://m.ftscrt.com/static/recipe/2779ccea-2b1f-4f8a-b913-954c1f3a8985.jpg
jus,iris lime sachet sweetener classic strawberries medium carrots utuh tomatoes l air,cuci potong buah sayur masukkan blender campurkan air pemanis tambahkan air jeruk nipis blender halus,2 porsi,35,0.28,8.58,0.93,2.2,0,https://m.ftscrt.com/static/recipe/63392a2e-5241-45c8-a874-22d0d4d3cd25.jpg
healthy banana oat muffin,baking powder kopi bubuk banana cocoa powder coconut sugar telur squeeze yoghurt garam baking soda oat,blender oats halus merupai tepung pakai tepung campur tepung oats cocoa powder baking soda baking powder kopi instan gula garam haluskan pisang campurkan telur yogurt campur adonan basah adonan kering masukan adonan muffin cup loyang sediakan tambahkan topping pilihan sesuai selera panggang oven c menit angkat dinginkan,6 porsi,459,12.23,78.65,14.1,3.1,40,https://m.ftscrt.com/static/recipe/fb5ddb0d-341b-423d-9692-269d29b3153c.jpg
tahu telur,siung bawang putih dimasak bawang merah minyak goreng telur garam tahu bayam,hancurkan tahu iris bayam campur tahu bayam telur haluskan bawang merah bawang putih beserta garam tumis bumbu halus masukkan adonan tahu masak matang,1 porsi,203,14.97,3.7,14.7,0.5,212,https://m.ftscrt.com/static/recipe/26b7f833-1306-4400-aa9e-073c82593a0e.jpg
chia seed yakult,buah naga botol yakult chia seed,campurkan chia seed yakult diamkan menit lemari es tambahkan potongan buah naga,1 porsi,154,3.12,27.62,3.64,4.0,0,https://m.ftscrt.com/static/recipe/ff24feff-7337-4da6-b94e-11b89d03f5f1.jpg
oat cookies,kurma oatmeal ekstrak vanila pisang keju cheddar,kupas buah pisang masukan mangkok hancurkan halus potong kurma parut keju masukan mangkuk hancuran pisang tambahkan vanilla paste tambahkan oatmeal campur adonan merata cetak adonan loyang panggang adoan oven suhu c kurleb menitan,17 porsi,24,0.51,4.66,0.54,0.5,1,https://m.ftscrt.com/static/recipe/5dc5dc35-308a-46a9-a3e7-1e130b98e87b.jpg
healthy oatmeal bar,choco chips creamy peanut butter instant oatmeal banana ekstrak vanila,hancurkan pisang garpu lembut tuang bahan kecuali chocochips aduk masukkan choco chips aduk tuang loyang yg alas baking paper panggang api menit,12 porsi,94,3.51,13.67,2.84,2.0,0,https://m.ftscrt.com/static/recipe/6b13981a-a595-4373-81c2-4e373439614e.jpg
smoothie buah naga,chia seed oatmeal pisang single almond breeze almond milk original nanas buah naga kacang almond panggang kering tambahan garam,bekukan buah buahan blender susu oatmeal taburi topping disukai chia almond dll sajikan,1 porsi,138,5.5,20.28,3.43,5.1,0,https://m.ftscrt.com/static/recipe/d83418c1-ac84-42fa-a9a6-fc4b77004761.jpg
pancake pisang,susu skim pisang gula pasir tepung terigu putih keperluan,haluskan pisang campur terigu aduk tambahkan gula susu bertahap diaduk panaskan wajan antilengket tuang sendok sayur adonan muncul gelembung adonan pancake tunggu sisi matang sajikan hangat ditambah madu topping sesuai selera,7 porsi,51,0.33,10.89,1.35,0.7,1,https://m.ftscrt.com/static/recipe/8f394150-c0ef-468d-bd73-675792cdc67b.jpg
bolognese wrap,lada putih bubuk siung bawang putih dimasak saus sambal saos tiram gandum tortilla daging sapi giling wortel dimasak mentimun kupas,kupas timun wortel iris memanjang rebus wortel air mendidih menit layu cincang siung bawang putih tumis harum masukkan daging cincang tambahkan saus tiram saus sambal garam lada masak daging matang letakkan daging cincang wortel timun susun memanjang diatas tortilla gulung panggang tortilla berwarna kecoklatan disajikan,3 porsi,242,8.41,29.08,12.78,4.9,29,https://m.ftscrt.com/static/recipe/c0d5ca6f-855d-4bbd-b294-8b17ead6e54d.jpg
bungkus salad ayam,kaldu jamur tortilla mayones dada ayam selada wortel,bumbui ayam kaldu jamur panggang wajan minyak atur tortilla gulung panaskan bungkus wajan antilengket menit,1 porsi,382,15.03,27.1,33.22,3.2,87,https://m.ftscrt.com/static/recipe/32852371-32f7-4ed8-8a3d-84ab80b5098e.jpg
steam tofu udang,kaldu jamur garam laut egg tofu saus tiram telur udang siung bawang putih minyak wijen,tumis bawang putih cincang pakai minyak wijen masukan udang berubah warna tambahkan air sup masukkan tofu matang masukan garam saus tiram kaldu jamur masukan kocokan telur aduk berserabut tambahkan daun bawang opsional,6 porsi,77,3.95,2.04,8.84,0.0,105,https://m.ftscrt.com/static/recipe/67e6f98e-1c4c-44aa-a2b8-1791e821a1cd.jpg
tuna bruschetta,lada putih bubuk kaldu jamur corn kernel squeeze yogurt original mozzarella cheddar tuna air kalengan irisan reguler roti multigrain,campurkan tuna yoghurt kernel kaldu jamur merica oleskan adonan tuna roti multigrain letakkan potongan keju diatasnya panggang airfryer menit,3 porsi,129,2.7,17.41,8.67,1.7,6,https://m.ftscrt.com/static/recipe/bc6eee28-91a3-4f64-86c3-79ad19165612.jpg
oatmeal goreng,minyak goreng instant oatmeal telur siung bawang putih cabai merah rawit bawang merah wortel bayi selada air,panaskan frypan masukan minyak tumis bawang merah bawang putih cabe layu masukan telur tumis mateng masukan wortel tumis layu layu masukkan oatmeal aduk tercampur tambahkan air dy tercampur tambahkan selada air sayuran pilihan,1 porsi,416,19.21,50.24,14.25,7.0,212,https://m.ftscrt.com/static/recipe/078b5fa4-cae2-45e1-8d65-d9e4fbba6dc3.jpg
bubur ayam merah,fiber creme dada ayam rebus kulit dimakan telur gelas kaldu ayam nasi merah daun bawang gula pasir kacang sangrai kering garam,telur dadar gulung potong sisihkan rebus dada ayam bawang putih daun salam garam matang tiriskan suwir suwir dagingnya hancurkan beras merah rebus kaldu ayam tambahkan serat creme gula garam tuang bubur mangkuk tambahkan ayam suwir kacang tanah sangrai irisan telur dadar topping taburi daun bawang,1 porsi,331,12.76,36.34,19.3,4.8,180,https://m.ftscrt.com/static/recipe/a3fa8a88-e8bd-4da7-9e36-7277ae409024.jpg
sup telur pedas,kaldu jamur minyak goreng telur rebus cabai merah rawit bawang merah sawi hijau garam siung bawang putih gelas air brokoli,haluskan cabe bawang merah bawang putih tumis minyak goreng masukkan air tunggu mendidih masukkan telur matang garam kaldu jamur telur matang masukkan sayuran tunggu matang sesuai selera,2 porsi,383,32.01,17.05,10.13,5.0,211,https://m.ftscrt.com/static/recipe/aaf9410c-2cf7-4530-ba5f-c9a7dc34129c.jpg
bubur ayam oatmeal,royco ayam kecap manis instant oatmeal sayur toge telur rebus dada ayam rebus kulit dimakan sejumput lada hitam sejumput garam,rebus dada ayam wajan matang selesai tiriskan simpan sisa airnya sisihkan ayam rebus masukkam oatmeal kedalam wajan yg berisi air sisa rebusan ayam aduk tambahkan toge aduk tambahkan merica garam penyedap matang angkat masukkan mangkuk suwir suwir ayam dimasak taruh mangkuk topping telur rebus,1 porsi,310,9.15,24.33,34.37,2.6,224,https://m.ftscrt.com/static/recipe/458178e5-70b7-4b63-ad16-a0dfc280efe3.jpg
bakwan sayur teflon,extra virgin olive oil kecambah tepung bakwan wortel seledri daun bawang air,potong wortel seledri n daun bawang masukan kecambah wortel air tepung bakwan aduk bumbui garam merica teflon minyak zaitun panaskan minyak panas goreng matang,1 porsi,216,6.72,34.6,4.4,1.4,0,https://m.ftscrt.com/static/recipe/4ff4bdff-e88a-4227-a320-5ca04e4e25d2.jpg
green smoothie,pisang single chia seed oat celery,cuci bersih dab siapkan bahan blend serving tabur chia seed,1 porsi,229,7.58,33.68,6.94,10.0,0,https://m.ftscrt.com/static/recipe/1e98265c-fb97-43e5-851a-42575e466f91.jpg
omlet bayam,royco ayam margarin telur siung bawang putih cabai merah rawit bawang merah ikat bayam,pecahkan telur masukan cincang bawang merah bawang putih cabai kocok tercampur masukan royco masukan bayam ambil daun nya siapkan pan anti lengket masukan margarin masukan adonan omlet bayam masak matang bolak adonan pastikan matang merata matang angkat sajikan,4 porsi,95,4.81,7.55,7.04,2.6,140,https://m.ftscrt.com/static/recipe/d8d89660-924a-4b6b-bb89-eacbe9a22367.jpg
pokcoy kuah pedas,sejumput garam laut lada putih bubuk kecap manis saus sambal royco ayam minyak kelapa telur minyak wijen dada ayam cabai merah rawit bawang merah pakcoy jamur kancing tahu susu siung bawang putih gelas air gula pasir,rebus air garam masukan pakcoy tisirkan tata dipiring tumis bawang putih bawang merah minyak kelapa layu masukkan butir telur ayam biarkan matang dibalik orak arik masukkan cabai tumis harum masukkan ayam jamur kancing ayam matang berubah warna tambahkan garam lada royco gula pasir masukkan saus sambal kecap manis minyak wijen aduk tambahkan air sesuai selera test masukkan tahu sebentar diaduk aduk tunggu air berkurang matikan api kompor siram diatas pokcoy,2 porsi,348,14.18,26.23,29.26,3.0,158,https://m.ftscrt.com/static/recipe/a967d6c7-3549-48b3-a1ff-fbf326778bfd.jpg
bayam tumis tahu,royco ayam udang rebon minyak goreng saos tiram telur tahu bayam,tumis udang masukkan telur orak arik minyak goreng tambahkan tahu yg hancurkan wangi masukkan bayam tambahkan saos tiram royco tunggu bayam matang hidangkan,1 porsi,397,27.12,11.82,31.87,4.0,213,https://m.ftscrt.com/static/recipe/5ba3aa97-6cb6-48c3-8f21-d804d4380e40.jpg
