menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
Kue Gandum Pisang,"['1. 10 g bubuk pengembang', '2. 30 gram susu', '3. 80 g gulungan gandum', '4. 1 ekstra besar telur', '5. 1 sdm madu', '6. 175 gram pisang', '7. 50 gram tepung terigu putih (semua keperluan)']","['1. Kupas dan haluskan pisang. Campur dengan telur, susu, dan madu.', '2. Tambahkan bahan kering dan aduk rata.', '3. Pindahkan ke loyang dan masak dalam oven dengan suhu 180Â°C selama 30 menit.', '4. Biarkan dingin, buka cetakannya, dan potong-potong.']",8 porsi,103,1.93,19.26,3.18,1.5,31,https://m.ftscrt.com/static/recipe/892f0def-c5e6-4a4b-a222-a4360823b5bf.jpg
Gandum dengan Buah,"['1. 1 sdm madu', '2. 3 sdm gandum', '3. 1 gelas yogurt stroberi', '4. 100 g buah naga', '5. 100 g apel']","['1. Masak gandum dengan air sesuai kemasan.', '2. Pindahkan ke mangkuk lalu tambahkan yogurt.', '3. Iris buah dan tambahkan ke mangkuk. Gerimis dengan madu.']",2 porsi,251,3.81,50.22,4.57,4.4,5,https://m.ftscrt.com/static/recipe/548c03ea-3bdc-41e7-b5ea-1f41d358a1b1.jpg
Sandwich Telur Dadar,"['1. 1 daun sedang selada', '2. 1 lembar roti tawar gandum', '3. 1 besar telur dadar', '4. 1 utuh sedang tomat merah']","['1. Panggang roti dalam wajan antilengket selama satu menit di setiap sisi.', '2. Atur telur dadar dan sayuran di dalam roti.', '3. Iris dan sajikan.']",1 porsi,306,11.59,36.48,13.63,7.6,217,https://m.ftscrt.com/static/recipe/687f35fe-9dd8-4a41-ab14-216a6bb82647.jpg
Banana Oats Coklat,"['1. 6 g choco chips', '2. 6 g unsalted butter', '3. 49 g oat', '4. 200 ml susu uht low fat', '5. 1 sdt ekstrak vanila', '6. 61 gram telur', '7. 1 sdt baking soda', '8. 157 gram pisang', '9. 11 gram kakao bubuk (tanpa gula)']","['1. Haluskan pisang.', '2. Tambahkan oat, coklat bubuk, vanilla, dan baking soda, lalu aduk.', '3. Setelah adonan tercampur rata, masukkan susu, telur dan mentega cair.', '4. Tuang ke dalam cetakan yang dialasi kertas roti dan taburi choco chips.', '5. Panggang dengan suhu 180Â°C selama 20 menit.']",2 porsi,315,10.7,45.52,12.27,6.4,140,https://m.ftscrt.com/static/recipe/1c8d84c8-e1fe-4f41-a219-748b9855a23d.jpg
Wafel,"['1. 2 g bubuk pengembang', '2. 20 g tepung pati jagung', '3. 60 g mentega tawar', '4. 1/2 besar telur', '5. 120 gram tepung putih', '6. 240 ml susu', '7. 1/2 sdt garam', '8. 1/2 sdt ekstrak vanila', '9. 10 gram gula pasir']","['1. Hangatkan susu tapi tidak mendidih, tambahkan butter, aduk hingga butter meleleh, sisihkan.', '2. Campur bahan kering jadi satu.', '3. Tambahkan telur ke dalam susu lalu masukkan ekstrak vanili.', '4. Campur semuanya sampai halus. Diamkan selama 15 menit.', '5. Masak dalam waffle iron hingga berwarna keemasan.', '6. Sajikan dengan buah atau topping yang Anda inginkan.']",5 porsi,231,11.32,26.41,4.78,0.6,49,https://m.ftscrt.com/static/recipe/aece58bc-4a2c-4390-be5e-1e225939cd5f.jpg
Kue Oat Pisang,"['1. 1 porsi minyak nabati', '2. 30 g choco chips', '3. 250 g oat', '4. 45 ml low fat milk', '5. 100 g telur', '6. 200 gram pisang raja']","['1. Haluskan pisang raja.', '2. Tambahkan telur, minyak, dan susu. Campur dengan baik.', '3. Tambahkan oat giling dan 15g keping cokelat, lalu aduk rata.', '4. Tuang adunan ke dalam acuan dan hiaskan baki choco chips. Bakar selama kira-kira 30 minit pada suhu 150Â°C.', '5. Biarkan dingin lalu iris.']",11 porsi,153,4.96,23.24,4.04,2.7,39,https://m.ftscrt.com/static/recipe/228c7014-d4fd-4734-b544-730d107e3c29.jpg
Kue Pisang Kukus,"['1. 27 g susu', '2. 60 g dark chocolate chips', '3. 75 g salted butter', '4. 120 g oatmeal rolled oats', '5. 75 g palm sugar', '6. 170 gram putih telur', '7. 1 sdt, bongkahan gula merah', '8. 270 gram pisang', '9. 10 gram chia seed', '10. 5 gram kacang almond']","['1. Kocok putih telur dengan 2 gula.', '2. Masukkan pisang lecek, oat, dan biji chia.', '3. Tambahkan mentega cair dan susu. Campur dengan baik.', '4. Tempatkan ke dalam cetakan dan hiasi dengan keping cokelat dan almond cincang. Kukus selama 25 menit.']",12 porsi,181,9.45,21.89,4.32,3.7,14,https://m.ftscrt.com/static/recipe/ca663dfd-9a6b-481c-b542-8b6ea05fc64a.jpg
Tahu Dihancurkan dengan Telur Orak Arik,"['1. 2 sdm minyak goreng', '2. 35 gram bawang bombay', '3. 110 gram telur', '4. 16 gram cabai merah atau rawit', '5. 10 gram bawang putih', '6. 232 gram tahu', '7. 30 gram daun bawang']","['1. Tuangkan minyak, kemudian tumis bawang putih, bawang bombay, dan rawit.', '2. Setelah berwarna sedikit kecoklatan, masukkan telur dan diorak arik.', '3. Tambahkan tahu dan hancurkan. Tuangkan air secukupnya.', '4. Bumbui sesuai selera.', '5. Masukkan bawang daun dan sajikan.']",4 porsi,156,11.34,6.43,8.91,1.6,116,https://m.ftscrt.com/static/recipe/f704a1d7-3b38-46aa-bf1e-4c7f58e831d0.jpg
Nasi Goreng Sayuran,"['1. 1 sdm sambal goreng', '2. 1 besar telur', '3. 1 mangkok,masak nasi putih', '4. 100 gram wortel', '5. 100 gram selada kol', '6. 100 gram sawi hijau']","['1. Dalam wajan antilengket, kocok telur.', '2. Tambahkan nasi dan saus sambal. Mengaduk.', '3. Masukkan sayuran dan aduk rata.', '4. Bumbui sesuai selera.']",1 porsi,416,8.87,70.19,15.58,6,228,https://m.ftscrt.com/static/recipe/87219099-5033-4aa1-ab15-42c08f893387.jpg
Roti Pisang Havermut,"['1. 20 g cokelat hitam & granola almond', '2. 30 g havermut instan', '3. 50 g telur', '4. 1 sejumput garam', '5. 1/2 sdt ekstrak vanila', '6. 120 gram pisang', '7. 1/2 sdt baking soda', '8. 1 sdm madu']","['1. Hancurkan pisang dan campur dengan telur, vanila, dan madu.', '2. Tambahkan oatmeal, garam, dan soda kue.', '3. Tuang ke dalam cetakan roti dan taburi dengan granola.', '4. Panggang dalam oven dengan suhu 180Â°C selama 20 menit atau hingga adonan tidak lengket lagi.', '5. Biarkan dingin sebelum membuka cetakan dan mengiris.']",2 porsi,232,5.86,39.64,7.31,4.2,106,https://m.ftscrt.com/static/recipe/3dc75459-6839-4198-af8a-0b38538289c7.jpg
